                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93398,                0.47091,                 1.0246,                0.95665,                0.94805,                0.96419,                0.62831,                 1.2695,                0.55489,                 1.1582,              0.0017728,              0.0017728,              0.0017728
                     36,                0.92077,                0.46311,                 1.0207,                0.98356,                0.94805,                0.96446,                0.64559,                 1.2461,                0.52677,                 1.1601,              0.0017594,              0.0017594,              0.0017594
                     37,                0.91892,                0.46232,                  1.019,                0.97219,                0.90802,                0.94827,                0.64369,                 1.2096,                0.51633,                 1.1581,              0.0017457,              0.0017457,              0.0017457
                     38,                0.92691,                0.46527,                 1.0209,                0.94145,                 0.8961,                0.95426,                0.63685,                 1.2586,                 0.5603,                 1.1773,              0.0017317,              0.0017317,              0.0017317
                     39,                 0.9133,                0.45638,                 1.0159,                 0.9815,                0.94805,                0.97634,                0.65873,                 1.1547,                0.50481,                 1.0982,              0.0017173,              0.0017173,              0.0017173
                     40,                 0.9149,                0.45605,                 1.0148,                0.97393,                0.97403,                0.98784,                0.65004,                 1.2326,                0.50733,                 1.1355,              0.0017027,              0.0017027,              0.0017027
                     41,                 0.9143,                0.45902,                 1.0154,                0.98186,                0.93506,                0.97186,                0.66285,                 1.1234,                 0.5386,                 1.1059,              0.0016877,              0.0016877,              0.0016877
                     42,                0.91443,                0.45451,                 1.0132,                0.99775,                0.94805,                0.98656,                0.65645,                 1.2293,                0.50438,                 1.1387,              0.0016724,              0.0016724,              0.0016724
                     43,                0.90697,                0.44878,                 1.0131,                0.98242,                0.96104,                 0.9798,                0.65795,                 1.2458,                0.46932,                 1.1541,              0.0016569,              0.0016569,              0.0016569
                     44,                0.90624,                0.45295,                 1.0113,                0.95698,                0.97403,                0.97792,                 0.6782,                 1.1627,                0.48855,                 1.1061,               0.001641,               0.001641,               0.001641
                     45,                0.90349,                0.44713,                 1.0072,                0.97167,                0.94805,                0.95655,                0.64876,                 1.2094,                0.50772,                  1.127,              0.0016249,              0.0016249,              0.0016249
                     46,                0.90594,                0.44707,                 1.0079,                0.98328,                0.94805,                0.97045,                0.63173,                 1.3078,                0.51086,                 1.1845,              0.0016086,              0.0016086,              0.0016086
                     47,                0.89791,                0.44208,                 1.0106,                0.98664,                0.95898,                0.98311,                0.67589,                 1.1491,                0.50573,                 1.0865,              0.0015919,              0.0015919,              0.0015919
                     48,                0.89634,                0.44006,                 1.0079,                0.94831,                0.95305,                 0.9681,                0.66837,                 1.1767,                0.51346,                 1.1164,               0.001575,               0.001575,               0.001575
                     49,                0.90061,                0.44623,                 1.0075,                 0.9729,                0.93262,                0.96087,                0.64703,                 1.2047,                0.50427,                 1.1332,              0.0015579,              0.0015579,              0.0015579
                     50,                0.89413,                0.43912,                 1.0044,                 0.9738,                0.97403,                0.98518,                0.68165,                 1.1634,                0.47657,                  1.094,              0.0015405,              0.0015405,              0.0015405
                     51,                0.89358,                 0.4423,                 1.0055,                      1,                0.93364,                0.97356,                0.66459,                 1.1827,                0.52408,                 1.1063,              0.0015228,              0.0015228,              0.0015228
                     52,                 0.8883,                0.43977,                      1,                0.98527,                0.93506,                0.97729,                0.66427,                 1.2084,                 0.4782,                 1.1282,               0.001505,               0.001505,               0.001505
